ZCTA,COUNTY,ZCTA_POP,AREA,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,EP_LIMENG,EP_MINRTY,F_MINRTY,EP_CROWD,EP_POV,F_POV
76426,Wise,127085,3497.1383766645695,0.50708,0.66144,0.22814,0.5214399999999999,0.47736,2.88,23.080000000000002,0,3.5800000000000005,12.86,0
76427,Jack,2583,341.195175610722,0.4333,0.6229,0.034,0.375,0.3391,0.5,9.1,0,2.5,13.3,0
76429,Palo Pinto,10656,2354.60719356828,0.5304,0.5476,0.1386,0.46185,0.41985,1.7500000000000002,16.6,0,2.25,12.65,0
76430,Shackelford,9756,3653.6744985503924,0.5586,0.7442,0.09570000000000001,0.63725,0.52285,1.0999999999999999,16,0,2.55,14.75,0
76431,Jack,18916,1464.2753808771681,0.4929,0.51645,0.23565,0.74775,0.51305,2.35,27.35,0,1.5500000000000003,12.850000000000001,0
76432,Brown,24597.000000000004,2511.614117035944,0.29916666666666664,0.4858,0.11836666666666666,0.40386666666666665,0.28463333333333335,1.633333333333333,12.066666666666665,0,2.2666666666666666,9.466666666666667,0
76433,Erath,106220,4801.40809875949,0.26964,0.4157,0.10834000000000002,0.4922000000000001,0.28430000000000005,1.12,16.46,0,3.8600000000000003,11.620000000000001,0
76435,Eastland,27378,1828.321809148584,0.5358333333333333,0.6691000000000001,0.1525,0.6388666666666666,0.5115,1.9000000000000001,16.333333333333332,0,1.7,17.1,0
76436,Comanche,9078,1003.7862807511999,0.5228,0.7460500000000001,0.3638,0.5788500000000001,0.5743,5.2,26.35,0,3.9000000000000004,13.25,0
76437,Eastland,106130,9913.35254767905,0.55698,0.5848199999999999,0.14598,0.6797799999999999,0.5133599999999999,2,17.58,0,2.68,17.14,0
76442,Comanche,75960,7268.18064534687,0.43845999999999996,0.7008,0.2803,0.56832,0.49239999999999995,3.6,25.72,0,2.96,15.3,0
76443,Brown,24267,3969.951295871454,0.3789666666666667,0.4777666666666667,0.17890000000000003,0.4074333333333333,0.33116666666666666,2.933333333333333,13.899999999999999,0,1.7999999999999998,13.333333333333334,0
76444,Comanche,4107,242.639889906176,0.366,0.7183,0.2578,0.6841,0.482,3.2,21.1,0,0.6,15.7,0
76445,Eastland,61016,3177.49998459712,0.52725,0.7204,0.2674,0.7254750000000001,0.577825,3.6,23.975,0,1.8,18.85,0
76446,Erath,105130,5759.49110546022,0.46812000000000004,0.57228,0.3558,0.534,0.47478,4.5600000000000005,29.440000000000005,0,2.34,16.46,0
76448,Eastland,38925,1718.698422739416,0.5109,0.6456666666666666,0.2553,0.7142,0.5496666666666666,3.5999999999999996,21.566666666666666,0,2.1999999999999997,21.266666666666666,0
76449,Palo Pinto,9698,1095.297453227692,0.3645,0.5297499999999999,0.19235,0.34955,0.3274,2.6,15.450000000000001,0,2.75,11.600000000000001,0
76450,Young,146274,12161.658685713865,0.4137166666666667,0.6420666666666667,0.14663333333333334,0.56345,0.4278166666666667,1.4833333333333334,19.849999999999998,0,2.8166666666666664,12.75,0
76452,Comanche,1860,276.278731674248,0.6271,0.539,0.4057,0.508,0.5478,4.9,34.4,0,3.1,14.2,0
76453,Palo Pinto,28239.000000000004,2716.376971782798,0.31106666666666666,0.4182333333333333,0.1118,0.34023333333333333,0.2576333333333333,1.5,11.799999999999999,0,2.1,9.9,0
76454,Eastland,24570,1926.507707980914,0.5212,0.7212000000000001,0.1926,0.6869666666666667,0.5393666666666667,2.466666666666667,17.166666666666668,0,1.9000000000000001,17.2,0
