GEOID,estimate,dem_share
76061,37,NA
75251,2861,0.714
75438,992,0.151
76832,728,0.126
78379,1413,0.321
75167,12170,0.387
77419,1253,0.13
78211,32769,0.756
76908,2554,NA
75019,42888,0.513
78801,22518,0.444
75759,54,NA
76630,1359,NA
76682,2846,0.137
75550,681,0.246
79119,17524,0.172
79853,2621,0.617
76035,2211,0.177
78883,395,0.289
77054,23267,0.838
79243,53,NA
77650,1835,0.181
79251,13,0.071
79759,0,NA
78371,153,0.437
75218,22529,0.641
78539,37380,0.58
78712,880,NA
79934,26445,0.615
75708,7698,0.393
76227,34036,0.434
79407,22807,0.314
77018,28229,0.568
78607,170,NA
77962,3654,0.123
76692,10252,0.158
75204,30537,0.663
76569,2681,0.167
78736,10163,0.688
76869,64,NA
76427,859,0.061
79777,293,0.158
77345,27993,0.304
79566,247,0.068
78879,89,NA
78117,401,0.19
79376,14,0.133
78605,6275,0.205
76666,268,0.076
79084,2123,0.101
78257,7538,0.463
75141,5782,0.778
79231,117,NA
77082,55056,0.671
75702,27698,0.827
76133,51505,0.618
75489,1032,NA
78754,26433,0.749
78655,2845,0.505
76885,216,NA
76021,35794,0.433
79713,493,0.076
78543,8689,0.692
76011,22622,0.67
79051,0,NA
77598,26460,0.504
79788,685,0.112
76262,39425,0.327
75078,28803,0.333
75248,37373,0.561
76377,555,0.092
76554,2380,NA
76127,1946,0.347
77498,51293,0.578
78220,16700,0.85
78559,13255,0.505
78635,564,NA
77004,37294,0.872
77073,39939,0.766
79529,1480,0.189
77974,314,NA
79413,21821,0.376
75477,1183,0.181
76049,29698,0.171
76712,25525,0.33
76372,1166,0.093
77024,38190,0.391
78734,19452,0.47
77303,20655,0.221
76708,27964,0.417
75838,639,0.05
78043,45532,0.652
77363,2853,0.182
79323,7252,0.257
75933,1158,0.146
75667,1193,0.173
77369,555,NA
76484,916,0.151
78588,133,NA
78675,314,0.161
75556,1214,0.107
76111,22531,0.623
77084,107673,0.571
75172,4619,NA
78567,443,NA
78219,17239,0.685
79925,39616,0.676
78731,27298,0.75
77091,27750,0.838
76051,53291,0.439
75060,47764,0.563
78251,62186,0.652
76053,30765,0.451
75044,43292,0.547
76388,235,0.226
75476,1056,0.136
77028,17425,0.931
78217,34159,0.564
77051,17221,0.92
78069,6115,0.427
78753,60426,0.785
75087,35157,0.293
75791,13562,0.17
76301,14757,0.558
79905,21599,0.787
78741,52114,0.867
75155,3233,0.302
78724,25723,0.874
75705,2762,0.485
75126,48987,0.435
78250,61669,0.607
78148,22364,0.464
78590,354,NA
76638,2910,0.103
76126,23450,0.336
77357,27721,0.234
78628,35601,0.373
76648,2887,0.211
77306,13569,0.201
75022,27201,0.411
77456,1384,NA
79377,269,NA
79370,1594,0.148
76685,40,NA
75493,626,NA
78039,1924,NA
77304,33364,0.243
75061,54520,0.607
77334,358,NA
78159,1196,0.191
79778,1056,0.078
78063,9484,0.221
78659,2616,0.27
75784,774,NA
77613,1097,0.222
78935,1234,0.14
76443,1914,NA
76522,36560,0.41
78954,1110,0.184
75566,756,NA
75421,666,0.133
79027,4794,0.321
75010,30406,0.59
75007,55500,0.532
75020,23232,0.315
75009,14089,0.247
75002,71253,0.458
75024,43551,0.563
75025,53764,0.574
78240,60927,0.624
77373,61501,0.544
76082,20194,0.132
77801,15068,0.565
76474,171,NA
78956,5685,0.198
76633,5290,0.18
75039,20108,0.655
75161,6529,0.205
76827,418,0.076
77449,128294,0.623
76504,23756,0.466
77433,90657,0.451
75669,762,NA
75409,16349,0.338
77521,60164,0.452
76366,1903,0.089
75206,39010,0.661
78750,31734,0.666
77075,44517,0.644
78419,778,NA
78238,25660,0.669
79745,6984,0.195
76570,2700,0.185
75602,21655,0.711
78073,8580,0.498
78542,77336,0.589
78121,13276,0.152
78738,15986,0.452
76862,207,0.012
77950,170,0.408
79259,35,NA
76225,2857,0.108
77664,2939,0.101
76264,1513,NA
77835,2330,0.165
79379,622,NA
77530,33437,0.597
75028,47804,0.413
75050,43174,0.606
75470,323,0.115
78564,202,0.422
78130,77400,0.34
75147,6636,0.127
76953,101,NA
77078,15663,0.89
75146,19701,0.843
75701,35858,0.418
75210,8673,0.937
77017,32985,0.645
77301,34169,0.388
78252,12009,0.598
78516,34990,0.569
77477,35830,0.636
77367,80,NA
77466,511,NA
78576,10600,0.541
76302,13482,0.3
75960,653,NA
76389,1257,0.052
79761,33602,0.321
79056,56,NA
78656,2416,NA
77013,19198,0.702
75433,2808,0.123
76544,23834,0.468
76259,6045,0.246
75052,95495,0.657
76177,11695,0.422
76055,2811,0.236
75571,3134,0.349
78065,11130,0.43
75765,7157,0.184
76371,1367,0.189
78132,30987,0.284
78616,8918,0.417
79535,179,0.087
79082,218,0.087
76845,288,NA
75643,2253,0.042
77040,47823,0.537
78661,329,NA
79258,49,NA
77029,17781,0.771
77060,45642,0.726
78201,48334,0.762
77014,37488,0.797
77389,38222,0.358
77976,96,NA
75077,37102,0.405
78733,8927,0.605
78412,41977,0.515
79502,1305,0.159
78007,169,NA
79519,41,NA
77444,534,0.083
79107,34935,0.51
77464,99,NA
77071,28888,0.77
79782,4497,0.141
75437,1377,0.116
76034,26418,0.328
76107,30168,0.552
76109,23220,0.465
76110,31926,0.69
76858,292,NA
76865,151,NA
78336,11214,0.235
78362,10218,0.254
78565,84,NA
77027,18323,0.583
77030,11229,0.738
76890,982,0.064
77031,18058,0.711
78218,37281,0.628
76842,242,NA
78221,41185,0.681
78224,22851,0.707
78338,18,0.245
78339,317,NA
78349,617,0.684
76905,12206,0.287
77036,74472,0.613
75478,1120,0.123
76680,279,NA
77042,41734,0.603
77045,36532,0.894
77048,18383,0.918
76802,5251,0.115
76624,2015,0.133
76820,88,NA
76566,242,NA
76073,5656,0.118
76671,1621,NA
76084,9109,0.379
78261,16749,0.439
76679,1435,0.099
79325,2184,0.114
77597,986,0.212
79508,1470,NA
78162,301,0.197
77458,210,0.149
76093,1792,0.142
76104,18344,0.824
76828,240,NA
76831,0,NA
76841,19,NA
76105,22179,0.881
76106,39900,0.748
76020,29131,0.208
78963,1202,0.206
76112,42572,0.747
76678,260,NA
76854,220,0.106
75479,1786,0.109
75098,56376,0.422
75480,1587,0.16
77987,206,NA
77876,123,NA
76092,31424,0.362
76693,1492,0.201
76704,7956,0.917
76873,60,NA
76861,1945,0.112
76875,525,0.055
75103,14530,0.121
76710,24837,0.479
76052,22290,0.32
75201,17476,0.65
78401,5265,0.567
78239,27431,0.564
76874,0,NA
75105,161,0.215
76884,115,NA
79907,53174,0.764
75788,23,NA
77507,312,0.299
78204,12231,0.795
79911,5794,0.596
75491,5064,0.205
78160,4918,0.179
77359,425,0.213
77340,31352,0.341
77355,29281,0.16
77467,17,NA
77470,374,NA
79603,23454,0.387
79607,3308,0.419
79701,32219,0.349
77364,1828,0.247
75486,2291,0.092
79703,23834,0.243
79705,41933,0.244
79719,589,0.516
76903,31248,0.401
75492,456,0.14
77475,790,0.134
78164,3706,0.145
78222,25227,0.663
77335,2972,0.207
78266,6913,0.346
75124,4255,0.168
75125,6326,0.517
77338,43558,0.632
78223,56055,0.648
76887,82,0.15
78353,241,0.623
75496,3739,0.154
75497,3907,0.133
75117,3984,0.202
75561,4939,0.154
78255,14825,0.462
78263,4440,0.334
75110,28558,0.325
78681,58155,0.543
78702,23671,0.9
78703,20407,0.741
77451,53,NA
79548,203,0.127
79553,3270,0.237
79563,1074,0.169
79565,292,NA
78370,4952,0.424
78374,18369,0.275
77447,16246,0.194
77420,2695,NA
77429,88628,0.343
77055,44671,0.495
77056,22056,0.508
77058,16120,0.482
78236,6896,0.511
77316,26119,0.163
76949,12,NA
76955,192,NA
77081,53031,0.751
78212,28865,0.737
78213,44813,0.636
78214,27558,0.733
78216,43554,0.589
77375,55759,0.349
77376,569,0.052
77015,56477,0.644
75562,104,NA
77059,17254,0.455
77062,26477,0.462
75569,3464,NA
78253,43770,0.554
78258,44747,0.477
78259,26338,0.467
77006,22580,0.774
77009,36147,0.741
77063,39249,0.611
77064,48637,0.516
77085,17991,0.847
77086,28636,0.703
77087,37886,0.775
77011,17447,0.752
77019,22057,0.664
77020,26357,0.798
77022,27924,0.775
77025,28540,0.666
77088,55734,0.817
77377,38469,0.284
75135,7363,0.188
77378,17616,0.233
77318,16303,0.169
75137,19548,0.696
77065,37793,0.495
77066,35676,0.637
77070,53057,0.453
77396,58396,0.675
77401,19372,0.59
77089,54751,0.539
77092,38458,0.614
77093,47135,0.718
77094,10271,0.437
75490,2493,0.165
76114,26563,0.476
76934,1084,NA
77379,81368,0.395
77381,36160,0.39
77382,41581,0.377
78202,11453,0.824
78205,1441,0.72
78227,51394,0.677
78358,653,NA
78373,4393,0.296
77326,37,NA
78375,2951,0.468
77076,36009,0.668
77079,34122,0.465
77412,44,NA
78242,34893,0.711
78244,30981,0.7
78245,76518,0.631
76939,0,NA
77440,27,NA
77446,6520,0.975
77049,36434,0.649
77095,70692,0.469
77201,0,NA
75115,52916,0.866
75116,19867,0.635
77050,4741,0.922
78229,34125,0.69
77384,19467,0.342
77386,57421,0.37
77336,13156,0.157
78230,45021,0.577
78231,9001,0.468
77360,5115,0.146
77417,2550,0.453
77428,0,0.034
77374,536,NA
75180,23941,0.712
79404,10094,0.664
79501,2659,0.162
79538,325,NA
79541,973,0.082
79602,24876,0.237
78626,36556,0.473
75152,5195,0.241
78642,12363,0.327
75573,115,NA
78660,91300,0.669
79521,3611,0.158
77520,35350,0.479
78666,82923,0.659
75181,28263,0.682
75182,6325,0.362
79525,2498,0.085
77539,46032,0.382
78614,599,0.158
78615,971,NA
78676,13124,0.423
77577,1481,NA
79526,837,0.12
77531,16228,0.385
77455,2194,0.105
77482,1779,0.237
79536,5258,0.13
75148,5961,0.252
77483,309,NA
78639,8792,0.202
75159,20098,0.452
78057,378,0.254
78058,976,0.139
78640,58790,0.574
75154,40947,0.563
78619,4505,0.428
75605,30501,0.231
79537,35,0.185
77486,7491,0.139
77519,1066,0.066
75203,17367,0.899
75211,77570,0.78
77585,986,0.036
78504,57410,0.549
78407,2704,0.789
77494,118291,0.431
75163,2716,0.204
77505,24223,0.303
77506,38765,0.593
77510,14485,0.16
75640,4859,0.14
75668,2371,0.295
77551,21929,0.544
77573,88131,0.344
78652,5374,0.655
78671,706,0.184
78672,1283,NA
78384,5739,0.558
77619,15662,0.236
77622,1439,NA
79356,5893,0.171
79358,1109,0.141
79363,5678,0.143
79364,7630,0.254
79367,777,0.164
77627,21698,0.199
77471,41212,0.481
77517,5677,0.156
77560,337,0.302
78385,525,0.374
77632,22903,0.152
79380,80,NA
77457,488,NA
78404,17761,0.59
75153,441,NA
79381,1548,0.187
79382,8149,0.166
79410,10166,0.473
79411,7012,0.588
79415,17939,0.54
79416,34124,0.369
75638,5505,0.276
75639,2926,0.221
78520,62490,0.624
77584,90372,0.582
77566,29436,0.271
77564,1888,0.066
78410,28396,0.372
78411,25987,0.545
77476,204,NA
79730,157,0.278
77568,15680,0.565
78526,48995,0.603
78536,363,NA
78537,48072,0.621
78634,34447,0.526
79423,40303,0.267
79424,46933,0.245
78405,15059,0.745
79539,223,0.072
79540,121,NA
79547,642,0.233
78541,44860,0.584
77478,25721,0.473
75150,60671,0.594
78416,15973,0.761
78417,4095,0.652
77493,36334,0.377
77578,22527,0.564
78545,402,NA
