ZCTA5,1a_65+,1a_50_64,1a_16_49,1a_0_15,1b_65+,1b_50_64,1b_16_49,1b_0_15,1c_65+,1c_50_64,1c_16_49,1c_0_15,2_65+,2_50_64,2_16_49,2_0_15,1a_total,1b_total,1c_total,2_total
75041,132.34558390014524,475.0809177649537,1424.5332839153912,0.0,3024.6544160998546,2186.2807486981897,5195.244594880093,0.0,0.0,1504.6383335368569,519.0451488226357,0.0,0.0,0.0,7708.776972381882,8709.4,2031.95978558049,10406.179759678136,2023.6834823594927,16418.17697238188
75042,154.43811564400858,732.9200812470854,1817.1539838560252,0.0,3529.5618843559914,3206.7924579343776,6378.484674524441,0.0,0.0,2487.287460818537,677.7862647471669,0.0,0.0,0.0,10066.375076872368,10132.2,2704.512180747119,13114.83901681481,3165.073725565704,20198.575076872366
75043,327.4892940855035,1307.78395701596,2645.7235466064576,0.0,7484.510705914497,5353.978521158331,8727.537152164266,0.0,0.0,4806.237521825709,1022.1233880637163,0.0,0.0,0.0,15180.415913165562,15745.2,4280.996797707921,21566.026379237093,5828.360909889426,30925.615913165562
75044,263.0562366086194,1077.3138334434752,1898.1496328687529,0.0,6011.94376339138,4171.824939307575,5854.781446184272,0.0,0.0,4197.86122724895,758.9697330080488,0.0,0.0,0.0,11272.099187938926,7786.0,3238.5197029208475,16038.550148883227,4956.830960256999,19058.099187938926
75048,109.37270459153594,648.7602835249212,1107.7848408324503,0.0,2499.627295408464,2118.4045875294564,3004.396713042581,0.0,0.0,2921.8351289456227,468.9687202613312,0.0,0.0,0.0,6965.049725863639,5753.8,1865.9178289489073,7622.428595980501,3390.803849206954,12718.849725863638
75050,153.43200414144172,781.1580140878378,2117.803078556669,0.0,3506.5679958585583,3142.9600708381295,6957.269027128955,0.0,0.0,2925.881915074033,819.9884412865908,0.0,0.0,0.0,12178.339453027787,10590.6,3052.3930967859487,13606.797093825644,3745.8703563606236,22768.939453027786
75051,171.03895543636128,653.0937148439486,1921.6558328309873,0.0,3908.9610445636386,2913.4142516971906,6917.266665250198,0.0,0.0,2160.4920334588605,705.9165058213474,0.0,0.0,0.0,10484.160996097467,11087.0,2745.7885031112974,13739.641961511026,2866.408539280208,21571.160996097467
75052,373.6865805783638,1988.018636436975,4482.968135654695,0.0,8540.313419421636,7263.461919610433,13678.168706673128,0.0,0.0,8181.519443952592,1801.9269723168136,0.0,0.0,0.0,26761.936185355364,22423.0,6844.673352670034,29481.944045705197,9983.446416269406,49184.936185355364
75054,23.787483176922134,176.1490940388261,497.63242800509573,0.0,742.2125168230779,686.5110708062522,1488.0088986829087,0.0,0.0,1089.3398351549217,206.26141029965783,0.0,0.0,0.0,3591.2972630123377,3425.8,697.569005220844,2916.7324863122385,1295.6012454545796,7017.097263012338
75056,81.31360852257822,513.8576206417382,1432.7687595587195,0.0,4382.686391477422,4506.3752534017185,9687.79765469424,0.0,0.0,5788.767125956543,1241.0682312078666,0.0,0.0,0.0,19970.965354539174,12948.4,2027.9399887230359,18576.859299573378,7029.835357164409,32919.36535453917
75057,17.48679753173725,114.19058236483072,358.7173041644605,0.0,942.5132024682628,1246.8546444944675,2833.4165266397285,0.0,0.0,1040.9547731407017,286.85563879840714,0.0,0.0,0.0,4616.010530397404,3503.0,490.39468406102844,5022.784373602459,1327.810411939109,8119.010530397404
