ZIP,attack_rate_mean,attack_rate_median,attack_rate_lower,attack_rate_upper
78735,0.24587472736424137,0.2540406017560539,0.14435713886247972,0.31508864157485594
78736,0.09192113530509247,0.08661906240298044,0.05330642657559764,0.15625582117354858
78737,0.17031047087980172,0.1544919454770756,0.04652571251548947,0.3383658612143742
78738,0.2318922805247225,0.2260343087790111,0.11644172552976792,0.3584999369323915
78739,0.0656579457854697,0.063266029047113,0.04056677293659228,0.10506553312079349
78741,0.33043454114722903,0.32813895685269334,0.24078459357644957,0.4284316866674434
78742,0.42536475869809204,0.4147727272727273,0.22149621212121212,0.6420454545454546
78744,0.4508357576126428,0.4556630758931288,0.35424451747712654,0.5309699145923356
78745,0.20182828711949152,0.2029542000947697,0.13116942533618733,0.26704506462312705
78746,0.14304792613736478,0.13221975543574022,0.05414948726080981,0.2766007682277901
78747,0.29873468995044977,0.3025689132630971,0.1801125703564728,0.40498147880887087
78748,0.20665597088333662,0.2018591383041511,0.11933798937635255,0.30403157584103874
78749,0.07486631644342821,0.07301782002793963,0.050576680636478244,0.11045095233227709
78750,0.14289392877619927,0.1339587182264127,0.06207555583869529,0.2594022743199337
78751,0.16986932593782028,0.17104849691002408,0.08531213993924792,0.24681575363988684
78752,0.36895542081008975,0.3707494542808634,0.28323550812515164,0.4497319912684938
78753,0.45332996400820746,0.45236133068720774,0.3822328366241717,0.5255571159473914
78754,0.34448480865867803,0.35268650947042907,0.23784306146115192,0.42479029764205645
78756,0.1995471035693388,0.20070216500877708,0.09610517846693974,0.29783864833235807
78757,0.1349019034831372,0.1277347760840376,0.05382276281494353,0.24291821341126293
78758,0.3737942268982548,0.3746498163481292,0.30454927473074767,0.43831994853597295
78759,0.06990970816798878,0.06839197274627122,0.048484154475966906,0.10087171853081789
78953,0.1871142857142857,0.17904761904761904,0.06857142857142857,0.34099999999999997
78957,0.23522886404012958,0.2407775107116731,0.11994983801860173,0.334415821924966
